,currentLocation,participantId,currentMode
0,POINT (-2724.6277665310454 6866.2081834436985),0,AtHome
1,POINT (-1526.9372331431534 5582.2951345645315),1,AtHome
2,POINT (-1360.9905987829304 2108.804385379679),2,AtHome
3,POINT (-1558.517200825967 5600.664347152427),3,AtHome
4,POINT (976.2409614204214 4574.575079082071),4,AtHome
5,POINT (-1525.6957374012197 1994.5285187115571),5,AtHome
6,POINT (1795.1297501295278 3238.4053705049837),6,AtHome
7,POINT (-1023.8165705255449 1578.3713681439597),7,AtHome
8,POINT (616.2956028633527 2274.8909931311796),8,AtHome
9,POINT (-2034.686980076759 2030.381539383028),9,AtHome
10,POINT (1814.98579620458 5202.324736027698),10,AtHome
11,POINT (-4565.6827138156195 7005.636929989713),11,AtHome
12,POINT (-497.3677634959754 6363.886889857202),12,AtHome
13,POINT (581.8384408333688 3529.4152341625972),13,AtHome
14,POINT (1591.8298888318336 4013.7639158217444),14,AtHome
15,POINT (-1675.0510095550928 5609.338507213533),15,AtHome
16,POINT (1831.7873304297461 5320.646245105632),16,AtHome
17,POINT (-1701.950647608051 5620.022677890126),17,AtHome
18,POINT (-1076.5842362188507 2994.728261285693),18,AtHome
19,POINT (1794.856951027348 3435.370711304074),19,AtHome
20,POINT (-1422.8753026578263 2066.5737215664585),20,AtHome
21,POINT (1412.644760167943 3414.0178787864565),21,AtHome
22,POINT (1633.4086345568762 4461.730793578187),22,AtHome
23,POINT (-1107.227708359132 3065.5453427229895),23,AtHome
24,POINT (-1527.1275555605914 2059.53529486834),24,AtHome
25,POINT (-1694.505856483093 2049.322365937635),25,AtHome
26,POINT (-1636.260455452556 2061.364222168615),26,AtHome
27,POINT (-1559.4010602968729 5661.229908784321),27,AtHome
28,POINT (-1555.4794152338718 5688.7132394402315),28,AtHome
29,POINT (2223.5624472994955 4862.063619308975),29,AtHome
30,POINT (1392.4006528599325 3610.69922294319),30,AtHome
31,POINT (-1189.5514924340619 2890.7553818484876),31,AtHome
32,POINT (-634.0344080258775 6277.753144833072),32,AtHome
33,POINT (-4597.6533240783865 7069.886826197356),33,AtHome
34,POINT (1386.7709448307846 4931.974943571377),34,AtHome
35,POINT (1496.9438618070185 3428.2506460665654),35,AtHome
36,POINT (-1844.165240520775 1848.9603894453562),36,AtHome
37,POINT (-2414.077403801369 6211.71081880048),37,AtHome
38,POINT (-1837.5939136403147 6234.563888603619),38,AtHome
39,POINT (1247.7570674966007 4770.987783190005),39,AtHome
40,POINT (-5.487087530871604 5360.671874544664),40,AtHome
